DATAFLOW,LAST UPDATE,freq,acl00,frequenc,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Slovakia,2007,54.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Slovakia,2011,59.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Türkiye,2007,19.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,Türkiye,2011,23.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 34 years,Percentage,United Kingdom,2011,47.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Austria,2007,54.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Austria,2011,57.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Belgium,2007,61.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Bulgaria,2007,20.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Bulgaria,2011,32.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Cyprus,2007,38.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Cyprus,2011,38.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Czechia,2007,52.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Czechia,2011,54.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Germany,2011,55.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Estonia,2007,48.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Estonia,2011,50.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Greece,2007,49.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Greece,2011,50.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Spain,2007,41.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Finland,2007,58.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Finland,2011,63.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Croatia,2007,26.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Hungary,2007,44.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Hungary,2011,38.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Italy,2007,47.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Italy,2011,44.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Lithuania,2007,31.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Lithuania,2011,46.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Luxembourg,2011,62.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Latvia,2007,33.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Latvia,2011,39.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Malta,2011,46.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Poland,2007,46.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Poland,2011,47.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Portugal,2007,39.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Portugal,2011,36.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Romania,2007,21.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Romania,2011,19.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Serbia,2011,25.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Slovenia,2007,42.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Slovenia,2011,49.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Slovakia,2007,52.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Slovakia,2011,55.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Türkiye,2007,16.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,Türkiye,2011,21.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 44 years,Percentage,United Kingdom,2011,46.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Austria,2007,44.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Austria,2011,48.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Belgium,2007,51.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Bulgaria,2007,15.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Bulgaria,2011,21.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Cyprus,2007,28.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Cyprus,2011,28.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Czechia,2007,41.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Czechia,2011,44.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Germany,2011,46.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Estonia,2007,35.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Estonia,2011,37.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Greece,2007,40.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Greece,2011,38.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Spain,2007,36.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Finland,2007,50.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Finland,2011,53.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Croatia,2007,18.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Hungary,2007,34.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Hungary,2011,28.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Italy,2007,39.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Italy,2011,37.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Lithuania,2007,24.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Lithuania,2011,36.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Luxembourg,2011,56.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Latvia,2007,27.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Latvia,2011,29.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Malta,2011,36.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Poland,2007,39.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Poland,2011,39.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Portugal,2007,30.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Portugal,2011,27.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Romania,2007,15.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Romania,2011,13.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Serbia,2011,17.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Slovenia,2007,31.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Slovenia,2011,35.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Slovakia,2007,39.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Slovakia,2011,45.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Türkiye,2007,13.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,Türkiye,2011,16.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 25 to 64 years,Percentage,United Kingdom,2011,45.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Austria,2007,52.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Austria,2011,53.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Belgium,2007,61.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Bulgaria,2007,17.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Bulgaria,2011,26.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Cyprus,2007,37.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Cyprus,2011,34.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Czechia,2007,51.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Czechia,2011,53.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Germany,2011,52.9,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Estonia,2007,42.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Estonia,2011,51.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Greece,2007,47.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Greece,2011,48.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Spain,2007,43.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Finland,2007,57.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Finland,2011,66.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Croatia,2007,23.3,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Hungary,2007,40.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Hungary,2011,33.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Italy,2007,44.5,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Italy,2011,45.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Lithuania,2007,26.1,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Lithuania,2011,43.2,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Luxembourg,2011,67.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Latvia,2007,33.0,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Latvia,2011,34.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Malta,2011,46.8,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Poland,2007,43.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Poland,2011,47.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Portugal,2007,35.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Portugal,2011,32.6,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Romania,2007,18.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Romania,2011,14.4,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Serbia,2011,19.7,,
ESTAT:CULT_PCS_CAA(1.0),26/02/16 23:00:00,Annual,Cinema,From 1 to 6 times,Females,From 35 to 44 years,Percentage,Slovenia,2007,38.6,,
